,Location,Year,Adults 19-64,Children 0-18,Total
151,Hawaii,2015,0.057,0.013999999999999999,0.05
152,Hawaii,2016,0.049,0.023,0.04
153,Hawaii,2017,0.053,0.026000000000000002,0.045
154,Hawaii,2018,0.05248,0.030489999999999996,0.04623
155,Hawaii,2019,0.057815,0.028138,0.049395999999999995
156,Idaho,2008,0.2285,0.1337,0.198
157,Idaho,2009,0.231,0.11199999999999999,0.192
158,Idaho,2010,0.2495,0.1112,0.204
159,Idaho,2011,0.2218,0.0922,0.18
160,Idaho,2012,0.23399999999999999,0.081,0.184
161,Idaho,2013,0.23399999999999999,0.087,0.19
162,Idaho,2014,0.193,0.079,0.16
163,Idaho,2015,0.166,0.06,0.13
164,Idaho,2016,0.153,0.053,0.12
165,Idaho,2017,0.16399999999999998,0.049,0.126
166,Idaho,2018,0.16408,0.06514,0.13237000000000002
167,Idaho,2019,0.159519,0.048773000000000004,0.124203
168,Illinois,2008,0.1786,0.0619,0.14400000000000002
169,Illinois,2009,0.193,0.048,0.15
170,Illinois,2010,0.2028,0.0519,0.158
171,Illinois,2011,0.1917,0.0367,0.15
172,Illinois,2012,0.193,0.036000000000000004,0.14800000000000002
173,Illinois,2013,0.184,0.046,0.14
174,Illinois,2014,0.141,0.040999999999999995,0.11
175,Illinois,2015,0.102,0.027000000000000003,0.08
176,Illinois,2016,0.094,0.026000000000000002,0.07
177,Illinois,2017,0.098,0.03,0.079
178,Illinois,2018,0.10186,0.03152,0.08202000000000001
179,Illinois,2019,0.103202,0.041542,0.085825
180,Indiana,2008,0.1812,0.1005,0.157
181,Indiana,2009,0.191,0.08900000000000001,0.16
182,Indiana,2010,0.2059,0.0911,0.171
183,Indiana,2011,0.2019,0.0856,0.17
184,Indiana,2012,0.204,0.081,0.16699999999999998
185,Indiana,2013,0.196,0.087,0.16
186,Indiana,2014,0.16699999999999998,0.07400000000000001,0.14
187,Indiana,2015,0.132,0.073,0.11
188,Indiana,2016,0.11,0.055999999999999994,0.09
189,Indiana,2017,0.113,0.063,0.098
190,Indiana,2018,0.1113,0.06962,0.09904
191,Indiana,2019,0.11688699999999999,0.070637,0.103333
192,Iowa,2008,0.1209,0.0523,0.10099999999999999
193,Iowa,2009,0.125,0.048,0.102
194,Iowa,2010,0.1362,0.044000000000000004,0.109
195,Iowa,2011,0.1283,0.0469,0.1
196,Iowa,2012,0.12,0.047,0.099
197,Iowa,2013,0.125,0.05,0.1
198,Iowa,2014,0.08199999999999999,0.033,0.07
199,Iowa,2015,0.067,0.035,0.06
200,Iowa,2016,0.059000000000000004,0.022000000000000002,0.05
201,Iowa,2017,0.062,0.026000000000000002,0.052000000000000005
202,Iowa,2018,0.07061,0.031560000000000005,0.059000000000000004
203,Iowa,2019,0.069619,0.024842,0.056401
204,Kansas,2008,0.1659,0.0927,0.14400000000000002
205,Kansas,2009,0.17300000000000001,0.084,0.146
206,Kansas,2010,0.1933,0.0787,0.158
207,Kansas,2011,0.1822,0.0628,0.15
208,Kansas,2012,0.179,0.07200000000000001,0.146
209,Kansas,2013,0.17600000000000002,0.07,0.14
210,Kansas,2014,0.15,0.064,0.12
211,Kansas,2015,0.132,0.054000000000000006,0.11
212,Kansas,2016,0.12,0.048,0.1
213,Kansas,2017,0.121,0.054000000000000006,0.1
214,Kansas,2018,0.1243,0.05255,0.10228999999999999
215,Kansas,2019,0.132358,0.057861,0.109477
216,Kentucky,2008,0.1973,0.0691,0.16
217,Kentucky,2009,0.207,0.064,0.166
218,Kentucky,2010,0.2209,0.0658,0.17600000000000002
219,Kentucky,2011,0.2095,0.0646,0.17
220,Kentucky,2012,0.19699999999999998,0.063,0.159
221,Kentucky,2013,0.21,0.064,0.17
222,Kentucky,2014,0.125,0.046,0.1
223,Kentucky,2015,0.08199999999999999,0.044000000000000004,0.07
224,Kentucky,2016,0.07200000000000001,0.032,0.06
225,Kentucky,2017,0.07400000000000001,0.04,0.064
226,Kentucky,2018,0.07871,0.03408,0.06605
227,Kentucky,2019,0.089847,0.042051,0.076214
228,Louisiana,2008,0.2541,0.0828,0.20199999999999999
229,Louisiana,2009,0.25,0.07200000000000001,0.196
230,Louisiana,2010,0.261,0.0642,0.20199999999999999
231,Louisiana,2011,0.2589,0.0629,0.2
232,Louisiana,2012,0.247,0.057,0.191
233,Louisiana,2013,0.248,0.061,0.19
234,Louisiana,2014,0.21600000000000003,0.051,0.17
235,Louisiana,2015,0.183,0.037000000000000005,0.14
236,Louisiana,2016,0.154,0.035,0.12
237,Louisiana,2017,0.125,0.028999999999999998,0.09699999999999999
238,Louisiana,2018,0.11815999999999999,0.03294,0.09267
239,Louisiana,2019,0.130356,0.043424000000000004,0.104486
240,Maine,2008,0.1473,0.0642,0.126
241,Maine,2009,0.142,0.059000000000000004,0.121
242,Maine,2010,0.157,0.042,0.127
243,Maine,2011,0.1582,0.06,0.13
244,Maine,2012,0.151,0.047,0.124
245,Maine,2013,0.163,0.05,0.13
246,Maine,2014,0.138,0.064,0.12
247,Maine,2015,0.11900000000000001,0.064,0.11
248,Maine,2016,0.114,0.05,0.1
249,Maine,2017,0.11599999999999999,0.043,0.098
250,Maine,2018,0.11420999999999999,0.05093,0.09883
251,Maine,2019,0.11566400000000002,0.060131,0.102241
252,Maryland,2008,0.1521,0.0567,0.125
253,Maryland,2009,0.156,0.051,0.125
254,Maryland,2010,0.1569,0.053,0.128
255,Maryland,2011,0.1424,0.0479,0.12
256,Maryland,2012,0.145,0.040999999999999995,0.11599999999999999
257,Maryland,2013,0.142,0.047,0.12
258,Maryland,2014,0.111,0.035,0.09
259,Maryland,2015,0.09,0.04,0.08
260,Maryland,2016,0.084,0.033,0.07
261,Maryland,2017,0.083,0.04,0.071
262,Maryland,2018,0.08353,0.03102,0.06895
263,Maryland,2019,0.083438,0.030156,0.06865299999999999
264,Massachusetts,2008,0.057,0.0205,0.047
265,Massachusetts,2009,0.061,0.018000000000000002,0.05
266,Massachusetts,2010,0.0631,0.0155,0.05
267,Massachusetts,2011,0.0593,0.0168,0.05
268,Massachusetts,2012,0.055999999999999994,0.013000000000000001,0.045
269,Massachusetts,2013,0.054000000000000006,0.015,0.04
270,Massachusetts,2014,0.047,0.017,0.04
271,Massachusetts,2015,0.04,0.011000000000000001,0.03
272,Massachusetts,2016,0.035,0.01,0.03
273,Massachusetts,2017,0.039,0.013999999999999999,0.032
274,Massachusetts,2018,0.03916,0.011000000000000001,0.032
275,Massachusetts,2019,0.043533999999999996,0.013418000000000001,0.035932
276,Michigan,2008,0.162,0.0582,0.131
277,Michigan,2009,0.18,0.049,0.142
278,Michigan,2010,0.1838,0.0462,0.14400000000000002
279,Michigan,2011,0.1759,0.0414,0.14
280,Michigan,2012,0.171,0.045,0.135
281,Michigan,2013,0.162,0.046,0.13
282,Michigan,2014,0.12300000000000001,0.038,0.1
283,Michigan,2015,0.086,0.033,0.07
284,Michigan,2016,0.075,0.031,0.06
285,Michigan,2017,0.073,0.028999999999999998,0.061
286,Michigan,2018,0.07767,0.0293,0.06435
287,Michigan,2019,0.083242,0.032413,0.069254
288,Minnesota,2008,0.1106,0.065,0.09699999999999999
289,Minnesota,2009,0.115,0.073,0.102
290,Minnesota,2010,0.1172,0.0651,0.102
291,Minnesota,2011,0.1143,0.0631,0.1
292,Minnesota,2012,0.11,0.059000000000000004,0.095
293,Minnesota,2013,0.109,0.063,0.1
294,Minnesota,2014,0.08199999999999999,0.035,0.07
295,Minnesota,2015,0.06,0.032,0.05
296,Minnesota,2016,0.057,0.03,0.05
297,Minnesota,2017,0.06,0.033,0.052000000000000005
298,Minnesota,2018,0.057010000000000005,0.0355,0.0508
299,Minnesota,2019,0.066215,0.033707,0.056788
300,Mississippi,2008,0.2349,0.1382,0.204
301,Mississippi,2009,0.245,0.10800000000000001,0.201
302,Mississippi,2010,0.2622,0.0882,0.207
303,Mississippi,2011,0.2578,0.0786,0.2
304,Mississippi,2012,0.253,0.075,0.19699999999999998
305,Mississippi,2013,0.25,0.078,0.2
306,Mississippi,2014,0.217,0.057999999999999996,0.17
307,Mississippi,2015,0.192,0.044000000000000004,0.15
308,Mississippi,2016,0.17800000000000002,0.046,0.14
309,Mississippi,2017,0.183,0.05,0.14300000000000002
310,Mississippi,2018,0.18735,0.04954,0.14547000000000002
311,Mississippi,2019,0.195268,0.059467,0.154004
312,Missouri,2008,0.18,0.0752,0.149
313,Missouri,2009,0.18600000000000003,0.078,0.154
314,Missouri,2010,0.1901,0.0653,0.154
315,Missouri,2011,0.1942,0.0716,0.16
316,Missouri,2012,0.19699999999999998,0.077,0.162
317,Missouri,2013,0.185,0.073,0.15
318,Missouri,2014,0.162,0.071,0.14
319,Missouri,2015,0.136,0.062,0.11
320,Missouri,2016,0.128,0.052000000000000005,0.11
321,Missouri,2017,0.131,0.049,0.10800000000000001
322,Missouri,2018,0.13624,0.0507,0.11187000000000001
323,Missouri,2019,0.143223,0.065866,0.12113800000000001
324,Montana,2008,0.2416,0.1627,0.218
325,Montana,2009,0.254,0.138,0.222
326,Montana,2010,0.2265,0.1282,0.198
327,Montana,2011,0.2529,0.1312,0.22
328,Montana,2012,0.254,0.11900000000000001,0.21600000000000003
329,Montana,2013,0.23399999999999999,0.10800000000000001,0.2
330,Montana,2014,0.193,0.09,0.16
331,Montana,2015,0.16399999999999998,0.076,0.14
332,Montana,2016,0.122,0.048,0.1
333,Montana,2017,0.127,0.063,0.11
334,Montana,2018,0.11865999999999999,0.05167000000000001,0.10001
335,Montana,2019,0.11733299999999999,0.066314,0.103003
336,Nebraska,2008,0.1465,0.0724,0.12300000000000001
337,Nebraska,2009,0.161,0.065,0.132
338,Nebraska,2010,0.1712,0.0571,0.136
339,Nebraska,2011,0.1656,0.0751,0.14
340,Nebraska,2012,0.159,0.059000000000000004,0.128
341,Nebraska,2013,0.152,0.06,0.12
342,Nebraska,2014,0.134,0.052000000000000005,0.11
343,Nebraska,2015,0.11,0.05,0.09
344,Nebraska,2016,0.12300000000000001,0.057999999999999996,0.1
345,Nebraska,2017,0.11900000000000001,0.057,0.1
346,Nebraska,2018,0.11684000000000001,0.06097999999999999,0.09954
347,Nebraska,2019,0.113821,0.050975,0.094329
348,Nevada,2008,0.2552,0.2154,0.243
349,Nevada,2009,0.273,0.18600000000000003,0.24600000000000002
350,Nevada,2010,0.2846,0.1833,0.254
351,Nevada,2011,0.282,0.1651,0.25
352,Nevada,2012,0.284,0.16899999999999998,0.251
353,Nevada,2013,0.272,0.14300000000000002,0.23
354,Nevada,2014,0.205,0.1,0.18
355,Nevada,2015,0.165,0.079,0.14
356,Nevada,2016,0.154,0.064,0.13
357,Nevada,2017,0.151,0.07400000000000001,0.129
358,Nevada,2018,0.15192,0.08194,0.13219
359,Nevada,2019,0.15721400000000002,0.077838,0.134913
360,New Hampshire,2008,0.1514,0.0548,0.125
361,New Hampshire,2009,0.147,0.051,0.121
362,New Hampshire,2010,0.1578,0.0514,0.129
363,New Hampshire,2011,0.1461,0.0326,0.12
364,New Hampshire,2012,0.161,0.044000000000000004,0.13
365,New Hampshire,2013,0.16,0.038,0.13
366,New Hampshire,2014,0.13,0.053,0.11
367,New Hampshire,2015,0.098,0.036000000000000004,0.08
368,New Hampshire,2016,0.091,0.032,0.08
369,New Hampshire,2017,0.08199999999999999,0.025,0.068
370,New Hampshire,2018,0.07737999999999999,0.0199,0.06311
371,New Hampshire,2019,0.090393,0.042331,0.078547
372,New Jersey,2008,0.166,0.0761,0.14
373,New Jersey,2009,0.174,0.065,0.14300000000000002
374,New Jersey,2010,0.1855,0.0624,0.15
375,New Jersey,2011,0.1847,0.0552,0.15
376,New Jersey,2012,0.182,0.053,0.146
377,New Jersey,2013,0.191,0.059000000000000004,0.15
378,New Jersey,2014,0.157,0.048,0.13
379,New Jersey,2015,0.125,0.04,0.1
380,New Jersey,2016,0.11,0.033,0.09
381,New Jersey,2017,0.109,0.036000000000000004,0.08900000000000001
382,New Jersey,2018,0.10514000000000001,0.03687,0.08626
383,New Jersey,2019,0.11229700000000001,0.042718,0.09312999999999999
384,New Mexico,2008,0.2892,0.1415,0.243
385,New Mexico,2009,0.28,0.127,0.23199999999999998
386,New Mexico,2010,0.28300000000000003,0.1063,0.22899999999999998
387,New Mexico,2011,0.2891,0.0949,0.23
388,New Mexico,2012,0.27399999999999997,0.087,0.21600000000000003
389,New Mexico,2013,0.28,0.095,0.22
390,New Mexico,2014,0.212,0.078,0.17
391,New Mexico,2015,0.163,0.047,0.13
392,New Mexico,2016,0.128,0.057,0.11
393,New Mexico,2017,0.134,0.046,0.107
394,New Mexico,2018,0.13601,0.055560000000000005,0.11209000000000001
395,New Mexico,2019,0.144204,0.055347,0.118068
396,New York,2008,0.1623,0.0618,0.134
397,New York,2009,0.163,0.05,0.131
398,New York,2010,0.1694,0.0501,0.13699999999999998
399,New York,2011,0.1632,0.0453,0.13
400,New York,2012,0.157,0.042,0.126
401,New York,2013,0.155,0.042,0.12
402,New York,2014,0.12300000000000001,0.035,0.1
403,New York,2015,0.102,0.026000000000000002,0.08
404,New York,2016,0.086,0.026000000000000002,0.07
405,New York,2017,0.081,0.027000000000000003,0.067
406,New York,2018,0.07592,0.0225,0.06187
407,New York,2019,0.07574199999999999,0.023222,0.06200700000000001
408,North Carolina,2008,0.2157,0.106,0.183
409,North Carolina,2009,0.225,0.085,0.183
410,North Carolina,2010,0.2391,0.0863,0.19399999999999998
411,North Carolina,2011,0.233,0.08199999999999999,0.19
412,North Carolina,2012,0.23800000000000002,0.076,0.191
413,North Carolina,2013,0.22899999999999998,0.065,0.18
414,North Carolina,2014,0.193,0.055999999999999994,0.15
415,North Carolina,2015,0.166,0.049,0.13
416,North Carolina,2016,0.154,0.046,0.12
417,North Carolina,2017,0.158,0.049,0.127
418,North Carolina,2018,0.15925,0.051820000000000005,0.12875
419,North Carolina,2019,0.16725299999999999,0.057880999999999995,0.136311
420,North Dakota,2008,0.1263,0.0778,0.113
421,North Dakota,2009,0.135,0.063,0.115
422,North Dakota,2010,0.1356,0.0674,0.11599999999999999
423,North Dakota,2011,0.1307,0.0754,0.12
424,North Dakota,2012,0.14400000000000002,0.071,0.124
425,North Dakota,2013,0.136,0.077,0.12
426,North Dakota,2014,0.10400000000000001,0.069,0.09
427,North Dakota,2015,0.096,0.094,0.1
428,North Dakota,2016,0.091,0.09300000000000001,0.09
429,North Dakota,2017,0.094,0.071,0.087
430,North Dakota,2018,0.09986,0.06352999999999999,0.08954
431,North Dakota,2019,0.08665199999999999,0.083785,0.08582000000000001
432,Ohio,2008,0.1608,0.0765,0.136
433,Ohio,2009,0.172,0.067,0.141
434,Ohio,2010,0.1754,0.063,0.14300000000000002
435,Ohio,2011,0.1712,0.0644,0.14
436,Ohio,2012,0.16699999999999998,0.057,0.135
437,Ohio,2013,0.159,0.052000000000000005,0.13
438,Ohio,2014,0.11699999999999999,0.05,0.1
439,Ohio,2015,0.08800000000000001,0.045,0.08
440,Ohio,2016,0.078,0.036000000000000004,0.07
441,Ohio,2017,0.08,0.040999999999999995,0.069
442,Ohio,2018,0.0883,0.049010000000000005,0.07721
443,Ohio,2019,0.092248,0.048799,0.079966
444,Oklahoma,2008,0.2622,0.1264,0.22
445,Oklahoma,2009,0.258,0.11699999999999999,0.214
446,Oklahoma,2010,0.2714,0.1103,0.222
447,Oklahoma,2011,0.2591,0.1158,0.21
448,Oklahoma,2012,0.259,0.107,0.213
449,Oklahoma,2013,0.247,0.11199999999999999,0.21
450,Oklahoma,2014,0.215,0.09300000000000001,0.18
451,Oklahoma,2015,0.20199999999999999,0.084,0.17
452,Oklahoma,2016,0.2,0.075,0.16
453,Oklahoma,2017,0.203,0.075,0.16399999999999998
454,Oklahoma,2018,0.19743,0.07835,0.16089
455,Oklahoma,2019,0.21684699999999998,0.083652,0.176258
456,Oregon,2008,0.2121,0.1273,0.188
457,Oregon,2009,0.233,0.115,0.2
458,Oregon,2010,0.2387,0.092,0.198
459,Oregon,2011,0.2221,0.07200000000000001,0.18
460,Oregon,2012,0.212,0.06,0.17
461,Oregon,2013,0.215,0.066,0.17
462,Oregon,2014,0.142,0.047,0.12
463,Oregon,2015,0.1,0.037000000000000005,0.08
464,Oregon,2016,0.08800000000000001,0.033,0.07
465,Oregon,2017,0.099,0.033,0.081
466,Oregon,2018,0.10475,0.035710000000000006,0.08642000000000001
467,Oregon,2019,0.101488,0.041074,0.08565199999999999
468,Pennsylvania,2008,0.1288,0.0671,0.11199999999999999
469,Pennsylvania,2009,0.139,0.053,0.115
470,Pennsylvania,2010,0.1451,0.0547,0.12
471,Pennsylvania,2011,0.14300000000000002,0.0561,0.12
472,Pennsylvania,2012,0.138,0.052000000000000005,0.115
473,Pennsylvania,2013,0.138,0.051,0.11
474,Pennsylvania,2014,0.12,0.055999999999999994,0.1
475,Pennsylvania,2015,0.08800000000000001,0.042,0.08
476,Pennsylvania,2016,0.078,0.047,0.07
477,Pennsylvania,2017,0.07400000000000001,0.046,0.066
478,Pennsylvania,2018,0.07627,0.04398,0.06761
479,Pennsylvania,2019,0.078475,0.044431,0.069319
480,Rhode Island,2008,0.1437,0.0603,0.121
481,Rhode Island,2009,0.159,0.052000000000000005,0.13
482,Rhode Island,2010,0.1715,0.0528,0.14
483,Rhode Island,2011,0.1602,0.0371,0.13
484,Rhode Island,2012,0.161,0.055999999999999994,0.134
485,Rhode Island,2013,0.168,0.061,0.14
486,Rhode Island,2014,0.10099999999999999,0.034,0.08
487,Rhode Island,2015,0.07,0.032,0.06
488,Rhode Island,2016,0.061,0.018000000000000002,0.05
489,Rhode Island,2017,0.065,0.021,0.053
490,Rhode Island,2018,0.057229999999999996,0.01961,0.04792
491,Rhode Island,2019,0.060952,0.019531,0.050547
492,South Carolina,2008,0.2252,0.1242,0.195
493,South Carolina,2009,0.233,0.10099999999999999,0.19399999999999998
494,South Carolina,2010,0.2458,0.1015,0.204
495,South Carolina,2011,0.2382,0.0928,0.2
496,South Carolina,2012,0.24,0.083,0.19399999999999998
497,South Carolina,2013,0.23,0.07400000000000001,0.19
498,South Carolina,2014,0.203,0.055999999999999994,0.16
499,South Carolina,2015,0.163,0.042,0.13
500,South Carolina,2016,0.149,0.040999999999999995,0.12
501,South Carolina,2017,0.166,0.054000000000000006,0.134
502,South Carolina,2018,0.15897999999999998,0.04699,0.12714
503,South Carolina,2019,0.16020299999999998,0.05836,0.131466
504,South Dakota,2008,0.1473,0.0996,0.132
505,South Dakota,2009,0.196,0.073,0.158
506,South Dakota,2010,0.1677,0.0721,0.138
507,South Dakota,2011,0.1684,0.0611,0.14
508,South Dakota,2012,0.16,0.043,0.124
509,South Dakota,2013,0.177,0.073,0.15
510,South Dakota,2014,0.136,0.07400000000000001,0.12
511,South Dakota,2015,0.158,0.076,0.13
512,South Dakota,2016,0.121,0.046,0.1
513,South Dakota,2017,0.131,0.064,0.11
514,South Dakota,2018,0.13529000000000002,0.055920000000000004,0.11077000000000001
515,South Dakota,2019,0.137908,0.064631,0.115075
516,Tennessee,2008,0.1893,0.0778,0.157
517,Tennessee,2009,0.20600000000000002,0.061,0.16399999999999998
518,Tennessee,2010,0.2103,0.0562,0.166
519,Tennessee,2011,0.2156,0.0622,0.17
520,Tennessee,2012,0.203,0.059000000000000004,0.162
521,Tennessee,2013,0.204,0.06,0.16
522,Tennessee,2014,0.174,0.052000000000000005,0.14
523,Tennessee,2015,0.151,0.044000000000000004,0.12
524,Tennessee,2016,0.136,0.036000000000000004,0.11
525,Tennessee,2017,0.138,0.044000000000000004,0.111
526,Tennessee,2018,0.14886,0.04977,0.12086
527,Tennessee,2019,0.14865799999999998,0.051767999999999995,0.121323
528,Texas,2008,0.3046,0.1833,0.265
529,Texas,2009,0.31,0.17,0.264
530,Texas,2010,0.3163,0.1543,0.264
531,Texas,2011,0.3108,0.1399,0.26
532,Texas,2012,0.306,0.13,0.25
533,Texas,2013,0.299,0.132,0.25
534,Texas,2014,0.257,0.11699999999999999,0.21
535,Texas,2015,0.233,0.099,0.19
536,Texas,2016,0.228,0.098,0.19
537,Texas,2017,0.237,0.107,0.196
538,Texas,2018,0.24005,0.11107,0.19951
539,Texas,2019,0.24545999999999998,0.12779300000000002,0.208733
540,Utah,2008,0.1845,0.1273,0.16399999999999998
541,Utah,2009,0.188,0.105,0.158
542,Utah,2010,0.2027,0.1123,0.17
543,Utah,2011,0.1955,0.11199999999999999,0.17
544,Utah,2012,0.185,0.099,0.154
545,Utah,2013,0.17800000000000002,0.09300000000000001,0.15
546,Utah,2014,0.162,0.09300000000000001,0.14
547,Utah,2015,0.141,0.076,0.12
548,Utah,2016,0.11599999999999999,0.055,0.09
549,Utah,2017,0.11900000000000001,0.066,0.1
550,Utah,2018,0.11635999999999999,0.07038,0.10027
551,Utah,2019,0.121726,0.08113200000000001,0.107609
